text,category
u10作文要交吗？,作业
你是英语课代表啊哥[破涕为笑],其它
。,无实义
期末卷要交吗？,作业
应该不用,无实义
[OK],无实义
应该需要对答案,作业
作文好像周一直接讲，其它都自己对答案,作业
谢谢,无实义
期末考的外刊除了TED和生物多样性还有那些？,作业
还有后羿射日，美丽中国,作业
那些都是二卷范围，一卷不考,作业
二卷可以选择性放弃吗，感觉没时间把那一大坨卷子全过一遍,作业
个人觉得知道大概意思就行了，填空你就找觉得最合理的填进去就行，不过像mundane这种确实要背,作业
会死,无实义
哥,无实义
我们5级了！,其它游戏
？,无实义
5级打boss有机会通关吗？,其它游戏
8个LiOH、1个NH3,其它游戏
包没有的,无实义
除非你有黑的kmno4,其它游戏
我有,无实义
我的游戏也是初具雏形了,编程
180块,其它
@读者 詹一恒 mol,无实义
@W  有机不会,无实义
@读者 詹一恒  你检查一下拼写吧，success 都拼错了,其它
。。。,无实义
lol,无实义
@开发组 侯沐阳  有机不会是什么鬼？,其它
@W  有机化学不会,其它
@杨博皓 明天你几点开始直播化学实验？,其它
@杨博皓 是你吗,无实义
？！,无实义
已修复,编程
@开发组 侯沐阳  ,无实义
正在写牌,编程
mo,无实义
后室啊,其它游戏
我原来看完过整个wiki,其它游戏
@读者 詹一恒  感觉很不平衡啊,其它游戏
不知道，据说是经过实际游玩测试过的,其它游戏
虽然玩过很多次，但好像有点靠运气,其它游戏
可以改变一些单位的特性和数值,其它游戏
是,无实义
在学校玩的版本少很多牌，并且有很多牌的数据都不一样,其它游戏
是的,无实义
那个和星空之光都得削,其它游戏
6,无实义
6,无实义
我现在就改(,编程
@开发组 侯沐阳  可以先把游戏机制和UI做出来,编程
是,无实义
算了，我发到我那个群吧,其它
这个群还有人吗？,其它
@主编 曾琰皓  有啊,无实义
竟然还有活人啊,其它
唐,无实义
？？？,无实义
亚马尔真来了,足球
帅气,无实义
亚马尔！！！,足球
好可爱,无实义
@Miaou d’engraissement  所以你到底除了没有啊,其它
普通顶出的,其它游戏
白光,其它游戏
可以可以,无实义
特别猎奇，我还以为是为了给我点什么所以出了一个周年庆特殊的球[汗],足球
非常能用，打个防守型中前卫基本t0水平,足球
我总评终于要到3038了,其它游戏
@见到大浪就旋转360°的α蛋  但他是后腰,足球
而且全场跑,足球
所以要退了吗,其它游戏
不要呀,无实义
当然你有高光币也可以再返厂,其它游戏
我把斯内德和内德维德都退了[汗],足球
@卡卡  只有五十个了,无实义
我把精选几乎都转换了,其它游戏
出了小一的梅西和内马尔,足球
我还换了一个雷亚尔,足球
利物浦的中后卫,足球
那就不要退了呀,无实义
好好用着,无实义
看样子很一般,无实义
你是真没脑子,无实义
主要是我太缺中后卫了,足球
没有其他球员了,足球
我就今天可以玩一天，以后就没有机会了,其它游戏
不是你好不容易有高光球员都退了干嘛,足球
？ ,无实义
